Modelo,Otimizador,Fold,Precisão,RevocaÃ§Ã£o,F1-Score,mAP50,mAP50-95,Inf.(ms)
YOLOv11n-seg,Adam,1,0.825,0.813,0.819,0.876,0.682,3.8
YOLOv11n-seg,Adam,2,0.836,0.768,0.801,0.857,0.661,4.2
YOLOv11n-seg,Adam,3,0.834,0.783,0.808,0.868,0.675,4
YOLOv11n-seg,Adam,4,0.835,0.771,0.802,0.859,0.655,3.9
YOLOv11n-seg,Adam,5,0.854,0.807,0.83,0.883,0.686,5.2
YOLOv11s-seg,Adam,1,0.867,0.826,0.846,0.896,0.718,8.5
YOLOv11s-seg,Adam,2,0.87,0.793,0.83,0.881,0.674,8.2
YOLOv11s-seg,Adam,3,0.893,0.826,0.858,0.902,0.694,8.3
YOLOv11s-seg,Adam,4,0.855,0.828,0.841,0.893,0.708,8.2
YOLOv11s-seg,Adam,5,0.883,0.803,0.841,0.896,0.711,8.1
YOLOv11m-seg,Adam,1,0.91,0.821,0.863,0.907,0.728,20.9
YOLOv11m-seg,Adam,2,0.908,0.842,0.874,0.917,0.741,20.8
YOLOv11m-seg,Adam,3,0.889,0.834,0.861,0.907,0.726,20.7
YOLOv11m-seg,Adam,4,0.901,0.82,0.859,0.911,0.733,21
YOLOv11m-seg,Adam,5,0.902,0.835,0.867,0.909,0.731,20.9
YOLOv26n-seg,Adam,1,0.785,0.752,0.768,0.824,0.633,4.3
YOLOv26n-seg,Adam,2,0.804,0.762,0.782,0.834,0.648,4.1
YOLOv26n-seg,Adam,3,0.783,0.743,0.763,0.817,0.633,4.7
YOLOv26n-seg,Adam,4,0.819,0.731,0.773,0.83,0.636,4.1
YOLOv26n-seg,Adam,5,0.832,0.73,0.778,0.831,0.636,4.7
YOLOv26n-seg,MuSGD,1,0.753,0.71,0.731,0.77,0.589,4
YOLOv26n-seg,MuSGD,2,0.766,0.711,0.737,0.776,0.585,4.7
YOLOv26n-seg,MuSGD,3,0.758,0.69,0.722,0.765,0.58,4.6
YOLOv26n-seg,MuSGD,4,0.764,0.7,0.731,0.786,0.597,4.1
YOLOv26n-seg,MuSGD,5,0.764,0.716,0.739,0.791,0.603,4.1
YOLOv26s-seg,Adam,1,0.855,0.789,0.821,0.876,0.693,9.3
YOLOv26s-seg,Adam,2,0.84,0.795,0.817,0.88,0.688,9.2
YOLOv26s-seg,Adam,3,0.825,0.8,0.812,0.87,0.685,10
YOLOv26s-seg,Adam,4,0.836,0.809,0.822,0.881,0.696,9.2
YOLOv26s-seg,Adam,5,0.815,0.801,0.808,0.87,0.683,9.2
YOLOv26s-seg,MuSGD,1,0.823,0.769,0.795,0.858,0.673,8.9
YOLOv26s-seg,MuSGD,2,0.823,0.782,0.802,0.864,0.681,9
YOLOv26s-seg,MuSGD,3,0.812,0.793,0.802,0.866,0.681,9.7
YOLOv26s-seg,MuSGD,4,0.838,0.798,0.817,0.872,0.688,9.4
YOLOv26s-seg,MuSGD,5,0.826,0.782,0.803,0.863,0.676,9.7
YOLOv26m-seg,Adam,1,0.87,0.824,0.846,0.899,0.722,22.1
YOLOv26m-seg,Adam,2,0.883,0.809,0.844,0.904,0.722,22.1
YOLOv26m-seg,Adam,3,0.884,0.807,0.844,0.901,0.725,21.8
YOLOv26m-seg,Adam,4,0.869,0.823,0.845,0.9,0.725,22.1
YOLOv26m-seg,Adam,5,0.87,0.825,0.847,0.901,0.726,21.8
YOLOv26m-seg,MuSGD,1,0.832,0.834,0.833,0.9,0.721,22.3
YOLOv26m-seg,MuSGD,2,0.842,0.847,0.844,0.907,0.729,22.2
YOLOv26m-seg,MuSGD,3,0.855,0.801,0.827,0.895,0.724,21.9
YOLOv26m-seg,MuSGD,4,0.856,0.801,0.828,0.895,0.714,21.9
YOLOv26m-seg,MuSGD,5,0.856,0.833,0.844,0.908,0.734,22.8
